İngilizce,Türkçe,Okunuş,Seviye,Kategori
cheese,peynir,çiiz,A2,Yemek & sağlık
chicken,tavuk,Çİ-kin,A2,Yemek & sağlık
cough,öksürmek,kof,A2,Yemek & sağlık
cucumber,salatalık,KYU-kam-bır,A2,Yemek & sağlık
cure,tedavi etmek,kyur,B2,Yemek & sağlık
dentist,diş hekimi,DEN-tist,A2,Yemek & sağlık
dessert,tatlı,di-ZÖRT,A2,Yemek & sağlık
diet,"diyet, beslenme",DA-yıt,B1,Yemek & sağlık
dinner,akşam yemeği,Dİ-nır,A2,Yemek & sağlık
disease,hastalık,di-ZİİZ,B1,Yemek & sağlık
doctor,doktor,DOK-tır,A2,Yemek & sağlık
dough,hamur,dou,B1,Yemek & sağlık
exercise,egzersiz,EK-sır-sayz,A2,Yemek & sağlık
fever,ateş (hastalık),Fİİ-vır,A2,Yemek & sağlık
flour,un,FLAU-ır,B1,Yemek & sağlık
fork,çatal,fork,A2,Yemek & sağlık
fry,kızartmak,fray,A2,Yemek & sağlık
grape,üzüm,greyp,A2,Yemek & sağlık
grill,ızgara yapmak,gril,B1,Yemek & sağlık
headache,baş ağrısı,HED-eyk,A2,Yemek & sağlık
illness,hastalık,İL-nıs,B1,Yemek & sağlık
ingredient,malzeme,in-GRİİ-di-ınt,B1,Yemek & sağlık
injury,yaralanma,İN-cı-ri,B1,Yemek & sağlık
knife,bıçak,nayf,A2,Yemek & sağlık
lunch,öğle yemeği,lanç,A2,Yemek & sağlık
meal,öğün,miil,A2,Yemek & sağlık
meat,et,miit,A2,Yemek & sağlık
medicine,ilaç,MED-sin,A2,Yemek & sağlık
melon,kavun,ME-lın,A2,Yemek & sağlık
mushroom,mantar,MAŞ-ruum,A2,Yemek & sağlık
nurse,hemşire,nörs,A2,Yemek & sağlık
nut,"kuruyemiş, fındık",nat,A2,Yemek & sağlık
oil,yağ,oyl,A2,Yemek & sağlık
onion,soğan,AN-yın,A2,Yemek & sağlık
operation,ameliyat,o-pı-REY-şın,B1,Yemek & sağlık
pepper,biber,PE-pır,A2,Yemek & sağlık
pharmacy,eczane,FAR-mı-si,A2,Yemek & sağlık
plate,tabak,pleyt,A2,Yemek & sağlık
prescription,reçete,pris-KRİP-şın,B2,Yemek & sağlık
recipe,tarif,RE-sı-pi,B1,Yemek & sağlık
recover,iyileşmek,ri-KA-vır,B2,Yemek & sağlık
salt,tuz,solt,A2,Yemek & sağlık
sauce,sos,sos,A2,Yemek & sağlık
sleep,uyku,sliip,A2,Yemek & sağlık
slice,dilim,slays,B1,Yemek & sağlık
snack,atıştırmalık,snek,A2,Yemek & sağlık
soup,çorba,suup,A2,Yemek & sağlık
sour,ekşi,SAU-ır,B1,Yemek & sağlık
spicy,"baharatlı, acı",SPAY-si,A2,Yemek & sağlık
spoon,kaşık,spuun,A2,Yemek & sağlık
strawberry,çilek,STRO-bı-ri,A2,Yemek & sağlık
sugar,şeker,ŞU-gır,A2,Yemek & sağlık
surgery,"ameliyat, cerrahi",SÖR-cı-ri,B2,Yemek & sağlık
symptom,belirti,SİMP-tım,B2,Yemek & sağlık
taste,"tat, tatmak",teyst,A2,Yemek & sağlık
treatment,tedavi,TRİİT-mınt,B1,Yemek & sağlık
vegetable,sebze,VEC-tı-bıl,A2,Yemek & sağlık
wheat,buğday,wiit,B1,Yemek & sağlık
wound,yara,wuund,B2,Yemek & sağlık
accept a delay,gecikmeyi kabul etmek,ık-SEPT ı di-ley,B1,Seyahat & ulaşım
accommodation,konaklama,ı-ko-mı-DEY-şın,B2,Seyahat & ulaşım
airport,havalimanı,EER-port,A2,Seyahat & ulaşım
arrival,varış,ı-RAY-vıl,B1,Seyahat & ulaşım
baggage,bagaj,BE-gic,B1,Seyahat & ulaşım
boarding pass,biniş kartı,BOR-ding pas,A2,Seyahat & ulaşım
book,rezervasyon yapmak,buk,A2,Seyahat & ulaşım
border,sınır,BOR-dır,B1,Seyahat & ulaşım
cabin,kabin,KE-bin,B1,Seyahat & ulaşım
check-in,giriş işlemi,ÇEK-in,A2,Seyahat & ulaşım
coast,"sahil, kıyı",koust,B1,Seyahat & ulaşım
crew,"mürettebat, ekip",kruu,B2,Seyahat & ulaşım
cruise,gemi turu,kruuz,B2,Seyahat & ulaşım
customs,gümrük,KAS-tımz,B1,Seyahat & ulaşım
departure,kalkış,di-PAR-çır,B1,Seyahat & ulaşım
destination,varış noktası,des-ti-NEY-şın,B1,Seyahat & ulaşım
direction,yön,di-REK-şın,A2,Seyahat & ulaşım
distance,mesafe,DİS-tıns,A2,Seyahat & ulaşım
driver,sürücü,DRAY-vır,A2,Seyahat & ulaşım
ferry,feribot,FE-ri,A2,Seyahat & ulaşım
flight,uçuş,flayt,A2,Seyahat & ulaşım
fuel,yakıt,FYU-ıl,B1,Seyahat & ulaşım
guide,rehber,gayd,A2,Seyahat & ulaşım
harbour,liman,HAR-bır,B2,Seyahat & ulaşım
highway,otoyol,HAY-wey,B1,Seyahat & ulaşım
hotel,otel,hou-TEL,A2,Seyahat & ulaşım
journey,yolculuk,CÖR-ni,B1,Seyahat & ulaşım
landing,iniş,LEN-ding,B1,Seyahat & ulaşım
luggage,"bavul, valiz",LA-gic,A2,Seyahat & ulaşım
map,harita,mep,A2,Seyahat & ulaşım
one-way ticket,tek yön bilet,WAN-wey ti-kit,A2,Seyahat & ulaşım
passenger,yolcu,PE-sın-cır,A2,Seyahat & ulaşım
passport,pasaport,PAS-port,A2,Seyahat & ulaşım
reservation,rezervasyon,re-zır-VEY-şın,B1,Seyahat & ulaşım
return ticket,gidiş-dönüş bilet,ri-TÖRN ti-kit,A2,Seyahat & ulaşım
ride,"binmek, yolculuk",rayd,A2,Seyahat & ulaşım
route,güzergâh,ruut,B1,Seyahat & ulaşım
rush hour,yoğun saat,RAŞ au-ır,B1,Seyahat & ulaşım
seat,koltuk,siit,A2,Seyahat & ulaşım
ship,gemi,şip,A2,Seyahat & ulaşım
sightseeing,gezip görme,SAYT-sii-ing,B1,Seyahat & ulaşım
station,istasyon,STEY-şın,A2,Seyahat & ulaşım
suitcase,bavul,SUUT-keys,A2,Seyahat & ulaşım
ticket,bilet,Tİ-kit,A2,Seyahat & ulaşım
timetable,"tarife, çizelge",TAYM-tey-bıl,A2,Seyahat & ulaşım
tour,tur,tuur,A2,Seyahat & ulaşım
tourist,turist,TUU-rist,A2,Seyahat & ulaşım
traffic jam,trafik sıkışıklığı,TRE-fik cem,A2,Seyahat & ulaşım
transport,ulaşım,TRANS-port,B1,Seyahat & ulaşım
travel insurance,seyahat sigortası,TRE-vıl in-şu-rıns,B1,Seyahat & ulaşım
trip,gezi,trip,A2,Seyahat & ulaşım
visa,vize,Vİİ-zı,B1,Seyahat & ulaşım
voyage,deniz yolculuğu,VO-yic,B2,Seyahat & ulaşım
wheel,tekerlek,wiil,A2,Seyahat & ulaşım
